sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff,rowSum,nameBlank,Mixup,kBlank,Cluster
2017-08-26T07:48:32Z,2017-08-26T19:06:41Z,2017-08-26T19:13:45Z,2017-08-26T19:06:41Z,Desorbed NA,8,8,NA,8,NA,424,NA,GBAug9_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/GBAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2244,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T19:44:15Z,2017-08-26T19:51:18Z,2017-08-26T19:44:15Z,Desorbed NA,9,9,NA,9,NA,423,NA,HVAug9_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HVAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2254,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T20:22:10Z,2017-08-26T20:29:21Z,2017-08-26T20:22:10Z,Desorbed NA,10,10,NA,10,NA,431,NA,CRAug9_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/CRAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2275,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T21:01:35Z,2017-08-26T21:07:45Z,2017-08-26T21:01:35Z,Desorbed NA,11,11,NA,11,NA,370,NA,ACAug9_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/ACAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2365,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T21:39:41Z,2017-08-26T21:46:51Z,2017-08-26T21:39:41Z,Desorbed NA,12,12,NA,12,NA,430,NA,ESAug9_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/ESAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2286,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T22:19:06Z,2017-08-26T22:26:10Z,2017-08-26T22:19:06Z,Desorbed NA,13,13,NA,13,NA,424,NA,AirAug25_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug25_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2365,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T22:58:36Z,2017-08-26T23:05:42Z,2017-08-26T22:58:36Z,Desorbed NA,14,14,NA,14,NA,426,NA,HM1Aug25_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HM1Aug25_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2370,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T23:38:18Z,2017-08-26T23:45:23Z,2017-08-26T23:38:18Z,Desorbed NA,15,15,NA,15,NA,425,NA,HM2Aug25_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HM2Aug25_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2382,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-27T00:18:02Z,2017-08-27T00:25:10Z,2017-08-27T00:18:02Z,Desorbed NA,16,16,NA,16,NA,428,NA,Blank2_08262017.qgd,NA,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Blank2_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2384,NA,NA,NA,NA,NA
2018-08-20T08:33:56Z,2018-08-20T15:38:53Z,2018-08-20T15:37:17Z,2018-08-20T15:37:17Z,Desorbed NA,1,1,NA,1,NA,96,NA,Blank_08202018.qgd,NA,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/Blank_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,142695,323974268,TRUE,FALSE,TRUE,2
