.alpha.-Guaiene,.beta.-copaene,.beta.-Myrcene,.beta.-Ocimene,(-)-.alpha.-Panasinsen,"(1R,3aS,8aS)-7-Isopropyl-1,4-dimethyl-1,2,3,3a,6,8a-hexahydroazulene","(3E,5E)-2,6-Dimethylocta-3,5,7-trien-2-ol","(4aR,8aS)-4a-Methyl-1-methylene-7-(propan-2-ylidene)decahydronaphthalene",(E)-4-Oxohex-2-enal,"[1,1'-Bicyclopentyl]-2-one","1-Hexanol, 5-methyl-2-(1-methylethyl)-","1-Octanol, 2,7-dimethyl-",1-Pentanol,1-Penten-3-ol,"1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-","1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethylidene)-, (E,E)-","1,7-Octadien-3-one, 2-methyl-6-methylene-","1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, [1aR-(1a.alpha.,4.alpha.,4a.beta.,7b.alpha.)]-","2-Pentenal, (E)-","2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-","2,6-Dimethyl-1,3,5,7-octatetraene, E,E-","3-Hexen-1-ol, (Z)-",3-Pentanone,"4-Hexen-1-ol, (Z)-",Anisole,"Benzene, (2-methoxyethyl)-","Benzofuran, 2,3-dihydro-",Benzyl alcohol,Carveol,Caryophyllene,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1.alpha.,2.beta.,4.beta.)]-",Cyclopentanol,Cyclopentanone,"Formic acid, decyl ester","Formic acid, hexyl ester",Germacrene D,Indole,Linalool,Methyl salicylate,Phenylethyl Alcohol,Prenol,trans-.beta.-Ocimene,Ylangene
0,0,0,1828440,0,0,0,0,0,0,0,0,60456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355590,0,0,0,0,0,0,0,0,0
0,0,514461,139353,0,0,0,0,0,0,0,0,64265,20069,0,0,0,0,0,0,0,0,2037338,0,77295,0,109599,0,0,0,0,0,614108,0,0,0,0,0,0,0,0,0,0
0,0,6342457,13487417,0,770432,0,0,363412,1163005,0,2312005,114454,0,0,408780,0,0,0,226286,0,0,0,6800660,136371,0,0,0,657960,0,0,0,4741643,0,0,0,0,0,0,0,0,1416399,0
0,0,0,7192387,0,0,0,0,0,0,0,0,54308,0,0,0,0,0,0,259536,0,0,0,2704257,0,0,0,0,0,619435,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2389094,824702,0,402900,0,0,78553,588331,0,0,126343,0,0,336921,0,353325,0,55802,0,0,3350110,0,88640,0,0,0,0,0,0,0,3697654,0,0,0,0,434220,559596,0,0,0,143108
0,0,0,1643247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3003617,0,0,0,0,1184191,0,0,6039259,0,0,0,0,0,0,0,0,0,0,0,2832081,0,0,0,0,0,0,0,0,0,0,0,0,0,507473,0,0,0,0,0
0,0,0,2917938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495369,0,0,0,541762,0,0,0,0,0,0,0,0,0,0,0,0,3384021
348870,0,1908916,357512,0,445559,0,0,136710,496459,0,0,0,212291,0,457430,0,1244051,0,48789,0,0,0,1780480,157865,168601,0,0,0,0,0,0,1285939,0,0,0,0,0,1292459,0,0,391371,221650
0,0,0,7994519,0,0,0,0,0,0,419695,0,0,0,0,0,0,0,0,466080,0,0,0,2065778,0,2417456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3613102,0
