index,FileName,fn1,fn2,fn3,fn4,fn5,fn6,fn7,fn8,sample,rowSum,Cluster,type,pop,sample_year,plant,rundate,GCn
,ypo1_08292019pm.qgd,ypo1,08292019pm,qgd,,,,,,,394428526,1,,,,,,
,ypo2_08292019pm.qgd,ypo2,08292019pm,qgd,,,,,,,392646303,1,,,,,,
,Blank_08302019am.qgd,Blank,08302019am,qgd,,,,,,,246690357,2,,,,,,
,ypo3_08302019am.qgd,ypo3,08302019am,qgd,,,,,,,297949654,1,,,,,,
,ypo4_08302019am.qgd,ypo4,08302019am,qgd,,,,,,,284409424,1,,,,,,
,bcnair1_08302019am.qgd,bcnair1,08302019am,qgd,,,,,,,270804103,2,,,,,,
,bcn1_08302019am.qgd,bcn1,08302019am,qgd,,,,,,,420456762,1,,,,,,
,bcn2_08302019am.qgd,bcn2,08302019am,qgd,,,,,,,382512685,1,,,,,,
,bcn3_08302019am.qgd,bcn3,08302019am,qgd,,,,,,,297340857,1,,,,,,
,bcn4_08302019am.qgd,bcn4,08302019am,qgd,,,,,,,292909505,1,,,,,,
,cmnair1_08302019am.qgd,cmnair1,08302019am,qgd,,,,,,,338156727,1,,,,,,
,cmn1_08302019am.qgd,cmn1,08302019am,qgd,,,,,,,388759760,1,,,,,,
,cmn2reallycm3_08302019am.qgd,cmn2reallycm3,08302019am,qgd,,,,,,,292173746,1,,,,,,
,cmn3reallycm4_08302019am.qgd,cmn3reallycm4,08302019am,qgd,,,,,,,318931199,1,,,,,,
,cmn4reallycm5_08302019am.qgd,cmn4reallycm5,08302019am,qgd,,,,,,,347811248,1,,,,,,
,cmn5reallycm6_08302019am.qgd,cmn5reallycm6,08302019am,qgd,,,,,,,299027371,1,,,,,,
,cmn6reallycm7_08302019am.qgd,cmn6reallycm7,08302019am,qgd,,,,,,,377541148,1,,,,,,
,cm2forreal_08312019.qgd,cm2forreal,08312019,qgd,,,,,,,308491685,1,,,,,,
,Blank1_8112021_01.qgd,Blank1,8112021,01,qgd,,,,,,70161904,7,,,,,,
,Blank1_8122021_01.qgd,Blank1,8122021,01,qgd,,,,,,92199993,7,,,,,,
,BellNFlr45Aug18_08202018.qgd,BellNFlr45Aug18,08202018,qgd,,,,,,,31353899,7,,,,,,
