index	FileName	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	redos	type	pop	sample_year	plant	scented	rundate	GCn	renamed
	BellNLeaf38Aug16_08202018.qgd	BellNLeaf38Aug16	8202018	qgd							76209750	3		other	BellN	18			8202018		
	BellNLeaf40Aug16_08202018.qgd	BellNLeaf40Aug16	8202018	qgd							38232514	3		other	BellN	18	38		8202018		
	BellNFlr40Aug16_08202018.qgd	BellNFlr40Aug16	8202018	qgd							83207532	3		floral	BellN	18	40	1	8202018		
	BellNFlr35Aug16_08202018.qgd	BellNFlr35Aug16	8202018	qgd							109308775	3		floral	BellN	18	35	1	8202018		
	BellNFlr30Aug16_08202018.qgd	BellNFlr30Aug16	8202018	qgd							120118764	3		floral	BellN	18	30	1	8202018		
	BellNFlr38Aug16_08202018.qgd	BellNFlr38Aug16	8202018	qgd							91163699	3		floral	BellN	18	38	0	8202018		
	BellNFlr31Aug16_08202018.qgd	BellNFlr31Aug16	8202018	qgd							43371296	3		floral	BellN	18	31	1	8202018		
	BellNFlr34Aug16_08202018.qgd	BellNFlr34Aug16	8202018	qgd							62908427	3		floral	BellN	18	34	0	8202018		
	BellNFlr33Aug16_08202018.qgd	BellNFlr33Aug16	8202018	qgd							71407237	3		floral	BellN	18	33	0	8202018		
	BellNFlr42Aug16_08202018.qgd	BellNFlr42Aug16	8202018	qgd							60811245	3		floral	BellN	18	42	0	8202018		
	BellNFlr39Aug16_08202018.qgd	BellNFlr39Aug16	8202018	qgd							71181434	3		floral	BellN	18	39	0	8202018		
	BellNFlr32Aug16_08202018.qgd	BellNFlr32Aug16	8202018	qgd							134085336	3		floral	BellN	18	32	0	8202018		
	BellNBeetleAug16_08202018.qgd	BellNBeetleAug16	8202018	qgd							67065877	3		other	BellN	18			8202018		
	AirBellNAug18_08202018.qgd	AirBellNAug18	8202018	qgd							53428368	3		ambient	BellN	18			8202018		
	BellNFlr29Aug18_08202018.qgd	BellNFlr29Aug18	8202018	qgd							74297839	3		floral	BellN	18	29	0	8202018		
	BellNFlr27Aug18_08202018.qgd	BellNFlr27Aug18	8202018	qgd							70567854	3		floral	BellN	18	27	1	8202018		
	BellNFlr44Aug18_08202018.qgd	BellNFlr44Aug18	8202018	qgd							100185167	3		floral	BellN	18	44	1	8202018		
	Blank_08212018.qgd	Blank	8212018	qgd							164567224	7		blank		18			8212018		
	BellNFlr45Aug18retry_08212018.qgd	BellNFlr45Aug18retry	8212018	qgd							118894078	3		floral	BellN	18	45	0	8212018		
	BellNFlr46Aug18_08212018.qgd	BellNFlr46Aug18	8212018	qgd							90780177	3		floral	BellN	18	46	0	8212018		
	BellNFlr48Aug18_08212018.qgd	BellNFlr48Aug18	8212018	qgd							86904735	3		floral	BellN	18	48	1	8212018		
	BellNBeetleAug18_08212018.qgd	BellNBeetleAug18	8212018	qgd							99748572	3		other	BellN	18			8212018		
	Blank_08282019.qgd	Blank	8282019	qgd							227880126	2		blank		19			8282019		
	ERB1_08282019.qgd	ERB1	8282019	qgd							295391244	2		floral	erb	19	1	0	8282019		
	ERB2_08282019.qgd	ERB2	8282019	qgd							317139516	2		floral	erb	19	2	0	8282019		
	ERB3_08282019.qgd	ERB3	8282019	qgd							321210783	2		floral	erb	19	3	0	8282019		
	ERB4_08282019.qgd	ERB4	8282019	qgd							260984412	2		floral	erb	19	4	0	8282019		
	ERB5_08282019.qgd	ERB5	8282019	qgd							298732862	2		floral	erb	19	5	0	8282019		
	ERB6_08282019.qgd	ERB6	8282019	qgd							259316290	2		floral	erb	19	6	0	8282019		
	ERB7_08282019.qgd	ERB7	8282019	qgd							298763853	2		floral	erb	19	7	0	8282019		
	ERB8_08282019.qgd	ERB8	8282019	qgd							279390326	2		floral	erb	19	8	0	8282019		
	ERBAIR1_08282019.qgd	ERBAIR1	8282019	qgd							278465712	2		ambient	erb	19	1		8282019		
	ERBAIR2_08282019.qgd	ERBAIR2	8282019	qgd							272472779	2		ambient	erb	19	2		8282019		
	ERB9_08282019.qgd	ERB9	8282019	qgd							288998401	2		floral	lerb	19	9	0	8282019		
	LERB1_08282019.qgd	LERB1	8282019	qgd							336983828	2		floral	lerb	19	1	0	8282019		
	LERBAIR1_08282019.qgd	LERBAIR1	8282019	qgd							295441772	2		ambient	lerb	19	1		8282019		
	LERB2_08282019.qgd	LERB2	8282019	qgd							290386790	2		floral	lerb	19	2	0	8282019		
	LERB3_08282019.qgd	LERB3	8282019	qgd							281444383	2		floral	lerb	19	3	0	8282019		
	BVB1_08282019.qgd	BVB1	8282019	qgd							278598109	1		floral	bvb	19	1	0	8282019		
	BVB2_08282019.qgd	BVB2	8282019	qgd							302591926	1		floral	bvb	19	2	1	8282019		
	BVB3_08282019.qgd	BVB3	8282019	qgd							258804306	2		floral	bvb	19	3	0	8282019		
	BVB4_08282019.qgd	BVB4	8282019	qgd							265873609	1		floral	bvb	19	4	1	8282019		
	bbair1_08282019.qgd	bbair1	8282019	qgd							223516777	2		ambient	bvb	19	1		8282019		
	marair1_08282019.qgd	marair1	8282019	qgd							271401372	2		ambient	mar	19	1		8282019		
	marair2_08282019.qgd	marair2	8282019	qgd							274754284	2		ambient	mar	19	1		8282019		
	mar1_08282019.qgd	Mar1	8282019	qgd							313926289	1		floral	mar	19	1	0	8282019		
	mar2_08282019.qgd	Mar2	8282019	qgd							256815305	2		floral	mar	19	2	0	8282019		
	mar3_08282019.qgd	Mar3	8282019	qgd							275678566	1		floral	mar	19	3	0	8282019		
	mar4_08282019.qgd	Mar4	8282019	qgd							250624637	2		floral	mar	19	4	0	8282019		
	mar5_08282019.qgd	Mar5	8282019	qgd							239006273	2		floral	mar	19	5	0	8282019		
