index	FileName	scented	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	type	pop	sample_year	plant	rundate	GCn
	mex6_08292019pm.qgd	1	mex6	08292019pm	qgd							354287880	1	floral	mex	19	6	8292019	
	mexair1_08292019pm.qgd		mexair1	08292019pm	qgd							288025723	1	ambient	mex	19	1	8292019	
	lerbair2_08292019pm.qgd		lerbair2	08292019pm	qgd							274158413	2	ambient	lerb	19	1	8292019	
	lerb4_08292019pm.qgd	0	lerb4	08292019pm	qgd							332622001	1	floral	lerb	19	4	8292019	
	lerb5_08292019pm.qgd	0	lerb5	08292019pm	qgd							262785818	1	floral	lerb	19	5	8292019	
	lerb6_08292019pm.qgd	0	lerb6	08292019pm	qgd							255709571	2	floral	lerb	19	6	8292019	
	bwbair1_08292019pm.qgd		bwbair1	08292019pm	qgd							271477558	2	ambient	bwb	19	1	8292019	
	bwb1_08292019pm.qgd	1	bwb1	08292019pm	qgd							291514775	1	floral	bwb	19	1	8292019	
	bwb2_08292019pm.qgd	0	bwb2	08292019pm	qgd							304321883	1	floral	bwb	19	2	8292019	
	bwb3_08292019pm.qgd	1	bwb3	08292019pm	qgd							239426444	1	floral	bwb	19	3	8292019	
	bwb4_08292019pm.qgd	1	bwb4	08292019pm	qgd							318845035	1	floral	bwb	19	4	8292019	
	bwb5_08292019pm.qgd	0	bwb5	08292019pm	qgd							330860206	1	floral	bwb	19	5	8292019	
	bwb6_08292019pm.qgd	1	bwb6	08292019pm	qgd							297309929	1	floral	bwb	19	6	8292019	
	bwb7_08292019pm.qgd	1	bwb7	08292019pm	qgd							263156477	1	floral	bwb	19	7	8292019	
	bwb8_08292019pm.qgd	1	bwb8	08292019pm	qgd							302370518	1	floral	bwb	19	8	8292019	
	bwb9_08292019pm.qgd	1	bwb9	08292019pm	qgd							396153179	1	floral	bwb	19	9	8292019	
	ypoair1_08292019pm.qgd		ypoair1	08292019pm	qgd							242157896	2	ambient	ypo	19	1	8292019	
	ypo1_08292019pm.qgd	1	ypo1	08292019pm	qgd							394428526	1	floral	ypo	19	1	8292019	
	ypo2_08292019pm.qgd	1	ypo2	08292019pm	qgd							392646303	1	floral	ypo	19	2	8292019	
	Blank_08302019am.qgd		Blank	08302019am	qgd							246690357	2	blank		19		8302019	
	ypo3_08302019am.qgd	1	ypo3	08302019am	qgd							297949654	1	floral	ypo	19	3	8302019	
	ypo4_08302019am.qgd	1	ypo4	08302019am	qgd							284409424	1	floral	ypo	19	4	8302019	
	bcnair1_08302019am.qgd		bcnair1	08302019am	qgd							270804103	2	ambient	bcn	19	1	8302019	
	bcn1_08302019am.qgd	1	bcn1	08302019am	qgd							420456762	1	floral	bcn	19	1	8302019	
	bcn2_08302019am.qgd	1	bcn2	08302019am	qgd							382512685	1	floral	bcn	19	2	8302019	
	bcn3_08302019am.qgd	0	bcn3	08302019am	qgd							297340857	1	floral	bcn	19	3	8302019	
	bcn4_08302019am.qgd	1	bcn4	08302019am	qgd							292909505	1	floral	bcn	19	4	8302019	
	cmnair1_08302019am.qgd		cmnair1	08302019am	qgd							338156727	1	ambient	cmn	19	1	8302019	
	cmn1_08302019am.qgd	1	cmn1	08302019am	qgd							388759760	1	floral	cmn	19	1	8302019	
	cmn2reallycm3_08302019am.qgd	1	cmn2reallycm3	08302019am	qgd							292173746	1	floral	cmn	19	3	8302019	
	cmn3reallycm4_08302019am.qgd	1	cmn3reallycm4	08302019am	qgd							318931199	1	floral	cmn	19	4	8302019	
	cmn4reallycm5_08302019am.qgd	1	cmn4reallycm5	08302019am	qgd							347811248	1	floral	cmn	19	5	8302019	
	cmn5reallycm6_08302019am.qgd	1	cmn5reallycm6	08302019am	qgd							299027371	1	floral	cmn	19	6	8302019	
	cmn6reallycm7_08302019am.qgd	1	cmn6reallycm7	08302019am	qgd							377541148	1	floral	cmn	19	7	8302019	
	cm2forreal_08312019.qgd	1	cm2forreal	8312019	qgd							308491685	1	floral	cmn	19	2	8312019	
	Blank1_8112021_01.qgd		Blank1	8112021	1	qgd						70161904	7	blank		21		8112021	
	Blank1_8122021_01.qgd		Blank1	8122021	1	qgd						92199993	7	blank		21		8122021	
	BellNFlr45Aug18_08202018.qgd		BellNFlr45Aug18	8202018	qgd							31353899	7	blank	BellN	18	45	8202018	
